pair,pair_code,term_group,term,coef_pct_points,std_err_pct_points,p_value,ci_low_pct_points,ci_high_pct_points,nobs,r_squared,weight_var
2008-2009,0809,industry,C(ind02_t)[T.6180.0],34.3148494883468,25.999197392780836,0.18688755976834148,-16.64264102845131,85.27234000514491,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.6290.0],92.5660633032994,22.204983803909688,3.0633296879853156e-05,49.0450947703412,136.08703183625758,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.670.0],21.40033501282625,23.19540923087758,0.3562100666476167,-24.061831686361725,66.86250171201422,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.6770.0],72.85743165108467,24.45969685144039,0.002894998194193959,24.917306749493743,120.79755655267559,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.680.0],70.13510220280033,26.24230915405249,0.007526673480483632,18.70112138969168,121.56908301590899,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.6890.0],51.09996223287367,43.254675158525416,0.23745405694443755,-33.6776432408155,135.87756770656284,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.7070.0],58.40357309289557,41.57587277597553,0.16009659201415227,-23.083640173835807,139.89078635962696,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.7290.0],116.46260681633196,26.107460753068047,8.16185751713879e-06,65.29292401252563,167.63228962013827,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.7580.0],44.6869287159811,32.10897945285095,0.16400512949640156,-18.24551459194337,107.61937202390557,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.770.0],83.46507408639579,19.92342374295556,2.7982401010430812e-05,44.415881101472685,122.5142670713189,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.7780.0],2.6425177709298726,19.390777780998437,0.8916022751202322,-35.36270831204658,40.64774385390631,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.7790.0],100.51939514060902,17.700607199309704,1.3558980667203607e-08,65.82684252547159,135.21194775574642,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.7860.0],69.27054245217622,15.12376245069779,4.644308090567803e-06,39.62851273806932,98.91257216628311,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.7870.0],61.03861077094146,15.632384847702685,9.437135298181699e-05,30.39969947697454,91.67752206490837,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.7880.0],87.97550938853269,15.596753990300611,1.6942966409874962e-08,57.40643329181212,118.54458548525326,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.7890.0],70.45285773685175,35.62225424227775,0.04795392436576551,0.6345223738582262,140.2711930998453,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8080.0],-19.145625628994654,17.108578980255533,0.2631120686205469,-52.67782425695451,14.386572998965196,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8090.0],64.69584396189602,30.448941378035272,0.033608971157516675,5.017015493575483,124.37467243021656,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8170.0],39.31499787367305,36.74582445107541,0.2846564790331352,-32.70549463266605,111.33549038001216,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8180.0],59.323607175716376,27.89425131260416,0.033442326428269026,4.651879227303102,113.99533512412965,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8190.0],48.56960228047974,24.23555830977912,0.045063238938916624,1.0687808480922434,96.07042371286724,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8270.0],79.04417495303247,18.7580328476196,2.5101621473571114e-05,42.27910615087874,115.8092437551862,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8290.0],59.23551414012892,35.52894988330091,0.09546541786391326,-10.399948039669415,128.87097631992725,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8370.0],98.05215729882266,16.42162364100388,2.3592326418318722e-09,65.86636639478355,130.23794820286176,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8390.0],39.98045452317599,34.634209894231994,0.2483513293616897,-27.901349502519512,107.86225854887151,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8470.0],30.40588042557511,29.137638221813273,0.2967047873978238,-26.70284108373661,87.51460193488683,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8560.0],-7.97721363036534,15.50994557888267,0.6070220423265207,-38.37614836715161,22.42172110642093,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8570.0],37.82594374787817,22.350232120698582,0.09056622938513033,-5.979706254801326,81.63159375055767,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.8590.0],-6.105372303936926,15.440685247689121,0.692541718428395,-36.368559286026525,24.157814678152675,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.9090.0],49.99921800776433,25.71488357151398,0.051850990206647,-0.40102765904379,100.39946367457244,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.9370.0],93.97627883827913,15.295331438271761,8.041045467795535e-10,63.997980087663244,123.954577588895,693,0.22212089943418367,earnwt_t
2008-2009,0809,industry,C(ind02_t)[T.9380.0],52.36698970917541,24.4168865043094,0.03197653544875173,4.510771546126885,100.22320787222392,693,0.22212089943418367,earnwt_t
